statistic,surround_3_contrast,surround_5_contrast,surround_7_contrast
mean,0.09971443690241587,0.09456898827846302,0.08380051176119835
std,,,
min,0.09971443690241587,0.09456898827846302,0.08380051176119835
max,0.09971443690241587,0.09456898827846302,0.08380051176119835
median,0.09971443690241587,0.09456898827846302,0.08380051176119835
pct_05,0.09971443690241587,0.09456898827846302,0.08380051176119835
pct_10,0.09971443690241587,0.09456898827846302,0.08380051176119835
pct_20,0.09971443690241587,0.09456898827846302,0.08380051176119835
pct_25,0.09971443690241587,0.09456898827846302,0.08380051176119835
pct_75,0.09971443690241587,0.09456898827846302,0.08380051176119835
pct_95,0.09971443690241587,0.09456898827846302,0.08380051176119835
